snr,snr_min,snr_max,num_samples,detection_prob,false_alarm_prob,training_accuracy,validation_accuracy
-19.0,-20,-18,801,0.0,0.013333333333333334,0.890625,0.46875
-17.0,-18,-16,808,0.0,0.012195121951219513,0.932170569896698,0.5692307949066162
-15.0,-16,-14,745,0.050304259974643606,0.0,0.9537814855575562,0.5666666626930237
-13.0,-14,-12,844,0.05227611654320963,0.0,0.9222221970558167,0.4592592716217041
-11.0,-12,-10,800,0.046775436128721926,0.0,0.90234375,0.4375
-9.0,-10,-8,835,0.0,0.011494252873563218,0.9363296031951904,0.5298507213592529
-7.0,-8,-6,779,0.05227611654320963,0.0,0.9096385836601257,0.5680000185966492
-5.0,-6,-4,787,0.04519036132826604,0.0,0.9005964398384094,0.4682539701461792
-3.0,-4,-2,750,0.0,0.013888888888888888,0.925000011920929,0.4749999940395355
-1.0,-2,0,813,0.04847572478284712,0.0,0.8730769157409668,0.4923076927661896
1.0,0,2,817,0.04519036132826604,0.0,0.9291187524795532,0.5114504098892212
3.0,2,4,832,0.047895394373409506,0.0,0.896616518497467,0.518796980381012
